index,date,MAX_VOLTAGE,MIN_VOLTAGE,MAX_TEMPERATURE,ACUMULATOR_VOLTAGE
0,1780260954062,0,6.55,0,7903
1,1780260955912,0,6.55,0,7891
2,1780260959628,0,6.55,0,7857
3,1780260960778,0,6.55,0,7847
4,1780260962512,0,6.55,0,7807
5,1780260964579,0,6.55,0,7795
6,1780260967262,0,6.55,0,7840
7,1780260968212,0,6.55,0,7813
8,1780260970629,0,6.55,0,7686
9,1780260975095,0,6.55,0,7639
10,1780260975877,0,6.55,0,7581
11,1780260976777,0,6.55,0,7754
12,1780260977278,0,6.55,0,7878
13,1780260979595,0,6.55,0,7884
14,1780260986677,0,6.55,0,7769
15,1780260987595,0,6.55,0,7769
16,1780260988944,0,6.55,0,7776
17,1780260992944,0,6.55,0,7662
18,1780260995176,0,6.55,0,7664
19,1780260996209,0,6.55,0,7769
20,1780261000409,0,6.55,0,7788
21,1780261002443,0,6.55,0,7793
22,1780261006893,0,6.55,0,7799
23,1780261013909,0,6.55,0,7833
24,1780261015092,0,6.55,0,7844
25,1780261018609,0,6.55,0,7850
26,1780261021443,0,6.55,0,7793
27,1780261022557,0,6.55,0,7788
28,1780261023925,0,6.55,0,7783
29,1780261036540,0,6.55,0,7800
30,1780261047390,0,6.55,0,7759
31,1780261061789,0,6.55,0,7805
32,1780261062990,0,6.55,0,7814
33,1780261063555,0,6.55,0,7795
34,1780261065373,0,6.55,0,7802
35,1780261065823,0,6.55,0,7820
36,1780261071522,0,6.55,0,7774
37,1780261077171,0,6.55,0,7819
38,1780261080471,0,6.55,0,7662
39,1780261086988,0,6.55,0,7551
40,1780261089088,0,6.55,0,7478
41,1780261091438,0,6.55,0,7837
42,1780261092471,0,6.55,0,7830
43,1780261092838,0,6.55,0,7851
44,1780261093954,0,6.55,0,7839
45,1780261098821,0,6.55,0,7763
46,1780261099321,0,6.55,0,7690
47,1780261099571,0,6.55,0,7685
48,1780261099642,0,6.55,0,7678
49,1780261107487,0,6.55,0,7660
50,1780261110870,0,6.55,0,7829
51,1780261115069,0,6.55,0,7580
52,1780261115452,0,6.55,0,7570
53,1780261116353,0,6.55,0,7564
54,1780261117470,0,6.55,0,7658
55,1780261118253,0,6.55,0,7639
56,1780261119036,0,6.55,0,7528
57,1780261125136,0,6.55,0,7827
58,1780261126702,0,6.55,0,7706
59,1780261132803,0,6.55,0,7740
60,1780261133668,0,6.55,0,7752
61,1780261139734,0,6.55,0,7750
62,1780261143818,0,6.55,0,7728
63,1780261145587,0,6.55,0,7715
64,1780261147086,0,6.55,0,7714
65,1780261151736,0,6.55,0,7852
66,1780261154868,0,6.55,0,7859
67,1780261155034,0,6.55,0,7860
68,1780261157602,0,6.55,0,7843
69,1780261159951,0,6.55,0,7790
70,1780261161600,0,6.55,0,7706
71,1780261166334,0,6.55,0,7774
72,1780261168567,0,6.55,0,7808
73,1780261171750,0,6.55,0,7750
74,1780261171983,0,6.55,0,7724
75,1780261173386,0,6.55,0,7666
76,1780261173883,0,6.55,0,7639
77,1780261177099,0,6.55,0,7850
78,1780261178799,0,6.55,0,7843
79,1780261180701,0,6.55,0,7628
80,1780261182434,0,6.55,0,7585
81,1780261184199,0,6.55,0,7569
82,1780261189600,0,6.55,0,7505
83,1780261196732,0,6.55,0,7587
84,1780261200198,0,6.55,0,7826
85,1780261212581,0,6.55,0,7598
86,1780261216948,0,6.55,0,7497
87,1780261218264,0,6.55,0,7460
88,1780261218432,0,6.55,0,7591
89,1780261222847,0,6.55,0,7802
90,1780261225814,0,6.55,0,7819
91,1780261232447,0,6.55,0,7837
92,1780261234763,0,6.55,0,7837
93,1780261236162,0,6.55,0,7794
