index,date,Temperatura,1,2,3,4,5,6,7
0,1762631670193,-254,0,0,0,512,0,0,0
1,1762631670210,-266,0,0,0,-2560,0,0,0
2,1762631670244,-252,0,0,0,1024,0,0,0
3,1762631670259,-258,0,0,0,-512,0,0,0
4,1762631670276,-256,0,0,0,0,0,0,0
5,1762631670293,-258,0,0,0,-512,0,0,0
6,1762631670309,-254,0,0,0,512,0,0,0
7,1762631670327,-243,0,0,0,3328,0,0,0
8,1762631670359,-243,0,0,0,3328,0,0,0
9,1762631670376,-236,0,0,0,5120,0,0,0
10,1762631670393,-234,0,0,0,5632,0,0,0
11,1762631670409,-233,0,0,0,5888,0,0,0
12,1762631670427,-233,0,0,0,5888,0,0,0
13,1762631670460,-231,0,0,0,6400,0,0,0
14,1762631670476,-227,0,0,0,7424,0,0,0
15,1762631670492,-233,0,0,0,5888,0,0,0
16,1762631670509,-231,0,0,0,6400,0,0,0
17,1762631670526,-239,0,0,0,4352,0,0,0
18,1762631670560,-229,0,0,0,6912,0,0,0
19,1762631670576,-233,0,0,0,5888,0,0,0
20,1762631670592,-227,0,0,0,7424,0,0,0
21,1762631670609,-223,0,0,0,8448,0,0,0
22,1762631670626,-219,0,0,0,9472,0,0,0
23,1762631670661,-225,0,0,0,7936,0,0,0
24,1762631670676,-227,0,0,0,7424,0,0,0
25,1762631670692,-225,0,0,0,7936,0,0,0
26,1762631670709,-219,0,0,0,9472,0,0,0
27,1762631670726,-214,0,0,0,10752,0,0,0
28,1762631670760,-212,0,0,0,11264,0,0,0
29,1762631670776,-209,0,0,0,12032,0,0,0
30,1762631670792,-226,0,0,0,7680,0,0,0
31,1762631670809,-207,0,0,0,12544,0,0,0
32,1762631670826,-220,0,0,0,9216,0,0,0
33,1762631670859,-217,0,0,0,9984,0,0,0
34,1762631670875,-221,0,0,0,8960,0,0,0
35,1762631670892,-203,0,0,0,13568,0,0,0
36,1762631670909,-206,0,0,0,12800,0,0,0
37,1762631670925,-216,0,0,0,10240,0,0,0
38,1762631670959,-201,0,0,0,14080,0,0,0
39,1762631670976,-209,0,0,0,12032,0,0,0
40,1762631670992,-208,0,0,0,12288,0,0,0
41,1762631671009,-211,0,0,0,11520,0,0,0
42,1762631671026,-212,0,0,0,11264,0,0,0
43,1762631671059,-210,0,0,0,11776,0,0,0
44,1762631671075,-201,0,0,0,14080,0,0,0
45,1762631671092,-208,0,0,0,12288,0,0,0
46,1762631671108,-206,0,0,0,12800,0,0,0
47,1762631671125,-206,0,0,0,12800,0,0,0
48,1762631671158,-198,0,0,0,14848,0,0,0
49,1762631671175,-198,0,0,0,14848,0,0,0
50,1762631671192,-204,0,0,0,13312,0,0,0
51,1762631671208,-202,0,0,0,13824,0,0,0
52,1762631671225,-194,0,0,0,15872,0,0,0
53,1762631671258,-196,0,0,0,15360,0,0,0
54,1762631671275,-198,0,0,0,14848,0,0,0
55,1762631671291,-202,0,0,0,13824,0,0,0
56,1762631671308,-192,0,0,0,16384,0,0,0
57,1762631671325,-194,0,0,0,15872,0,0,0
58,1762631671358,-194,0,0,0,15872,0,0,0
59,1762631671375,-190,0,0,0,16896,0,0,0
60,1762631671391,-194,0,0,0,15872,0,0,0
61,1762631671408,-198,0,0,0,14848,0,0,0
62,1762631671425,-190,0,0,0,16896,0,0,0
63,1762631671458,-192,0,0,0,16384,0,0,0
64,1762631671477,-196,0,0,0,15360,0,0,0
65,1762631671491,-192,0,0,0,16384,0,0,0
66,1762631671508,-194,0,0,0,15872,0,0,0
67,1762631671525,-196,0,0,0,15360,0,0,0
68,1762631671558,-196,0,0,0,15360,0,0,0
69,1762631671575,-190,0,0,0,16896,0,0,0
70,1762631671591,-188,0,0,0,17408,0,0,0
71,1762631671608,-190,0,0,0,16896,0,0,0
72,1762631671625,-200,0,0,0,14336,0,0,0
73,1762631671658,-194,0,0,0,15872,0,0,0
74,1762631671675,-194,0,0,0,15872,0,0,0
75,1762631671691,-196,0,0,0,15360,0,0,0
76,1762631671708,-188,0,0,0,17408,0,0,0
77,1762631671724,-188,0,0,0,17408,0,0,0
78,1762631671758,-196,0,0,0,15360,0,0,0
79,1762631671774,-192,0,0,0,16384,0,0,0
80,1762631671791,-186,0,0,0,17920,0,0,0
81,1762631671808,-184,0,0,0,18432,0,0,0
82,1762631671825,-196,0,0,0,15360,0,0,0
83,1762631671858,-194,0,0,0,15872,0,0,0
84,1762631671874,-188,0,0,0,17408,0,0,0
85,1762631671891,-190,0,0,0,16896,0,0,0
86,1762631671908,-183,0,0,0,18688,0,0,0
87,1762631671924,-188,0,0,0,17408,0,0,0
88,1762631671958,-181,0,0,0,19200,0,0,0
89,1762631671974,-181,0,0,0,19200,0,0,0
90,1762631671991,-176,0,0,0,20480,0,0,0
91,1762631672007,-183,0,0,0,18688,0,0,0
92,1762631672024,-186,0,0,0,17920,0,0,0
93,1762631672058,-188,0,0,0,17408,0,0,0
94,1762631672075,-188,0,0,0,17408,0,0,0
95,1762631672091,-185,0,0,0,18176,0,0,0
96,1762631672107,-181,0,0,0,19200,0,0,0
97,1762631672124,-186,0,0,0,17920,0,0,0
98,1762631672159,-178,0,0,0,19968,0,0,0
99,1762631672174,-183,0,0,0,18688,0,0,0
100,1762631672191,-188,0,0,0,17408,0,0,0
101,1762631672207,-184,0,0,0,18432,0,0,0
102,1762631672225,-178,0,0,0,19968,0,0,0
103,1762631672258,-185,0,0,0,18176,0,0,0
104,1762631672274,-178,0,0,0,19968,0,0,0
105,1762631672292,-184,0,0,0,18432,0,0,0
106,1762631672308,-174,0,0,0,20992,0,0,0
107,1762631672326,-177,0,0,0,20224,0,0,0
108,1762631672358,-183,0,0,0,18688,0,0,0
109,1762631672374,-170,0,0,0,22016,0,0,0
110,1762631672391,-173,0,0,0,21248,0,0,0
111,1762631672407,-183,0,0,0,18688,0,0,0
112,1762631672424,-174,0,0,0,20992,0,0,0
113,1762631672457,-169,0,0,0,22272,0,0,0
114,1762631672474,-178,0,0,0,19968,0,0,0
115,1762631672491,-168,0,0,0,22528,0,0,0
116,1762631672507,-173,0,0,0,21248,0,0,0
117,1762631672525,-178,0,0,0,19968,0,0,0
118,1762631672557,-186,0,0,0,17920,0,0,0
119,1762631672574,-154,0,0,0,26112,0,0,0
120,1762631672591,-169,0,0,0,22272,0,0,0
121,1762631672608,-183,0,0,0,18688,0,0,0
122,1762631672625,-176,0,0,0,20480,0,0,0
123,1762631672658,-178,0,0,0,19968,0,0,0
124,1762631672674,-172,0,0,0,21504,0,0,0
125,1762631672691,-167,0,0,0,22784,0,0,0
126,1762631672709,-161,0,0,0,24320,0,0,0
127,1762631672724,-163,0,0,0,23808,0,0,0
128,1762631672758,-171,0,0,0,21760,0,0,0
129,1762631672774,-171,0,0,0,21760,0,0,0
130,1762631672792,-167,0,0,0,22784,0,0,0
131,1762631672807,-187,0,0,0,17664,0,0,0
132,1762631672825,-166,0,0,0,23040,0,0,0
133,1762631672857,-167,0,0,0,22784,0,0,0
134,1762631672874,-163,0,0,0,23808,0,0,0
135,1762631672890,-171,0,0,0,21760,0,0,0
136,1762631672908,-165,0,0,0,23296,0,0,0
137,1762631672924,-171,0,0,0,21760,0,0,0
138,1762631672958,-171,0,0,0,21760,0,0,0
139,1762631672974,-161,0,0,0,24320,0,0,0
140,1762631672991,-171,0,0,0,21760,0,0,0
141,1762631673007,-171,0,0,0,21760,0,0,0
142,1762631673024,-167,0,0,0,22784,0,0,0
143,1762631673058,-155,0,0,0,25856,0,0,0
144,1762631673074,-167,0,0,0,22784,0,0,0
145,1762631673090,-161,0,0,0,24320,0,0,0
146,1762631673107,-155,0,0,0,25856,0,0,0
147,1762631673124,-163,0,0,0,23808,0,0,0
148,1762631673159,-169,0,0,0,22272,0,0,0
149,1762631673175,-165,0,0,0,23296,0,0,0
150,1762631673191,-161,0,0,0,24320,0,0,0
151,1762631673207,-163,0,0,0,23808,0,0,0
152,1762631673224,-173,0,0,0,21248,0,0,0
153,1762631673257,-163,0,0,0,23808,0,0,0
154,1762631673277,-169,0,0,0,22272,0,0,0
155,1762631673292,-167,0,0,0,22784,0,0,0
156,1762631673307,-171,0,0,0,21760,0,0,0
157,1762631673326,-167,0,0,0,22784,0,0,0
158,1762631673358,-163,0,0,0,23808,0,0,0
159,1762631673373,-161,0,0,0,24320,0,0,0
160,1762631673390,-159,0,0,0,24832,0,0,0
161,1762631673408,-165,0,0,0,23296,0,0,0
162,1762631673423,-173,0,0,0,21248,0,0,0
163,1762631673457,-161,0,0,0,24320,0,0,0
164,1762631673473,-157,0,0,0,25344,0,0,0
165,1762631673491,-165,0,0,0,23296,0,0,0
166,1762631673507,-169,0,0,0,22272,0,0,0
167,1762631673523,-159,0,0,0,24832,0,0,0
168,1762631673558,-161,0,0,0,24320,0,0,0
169,1762631673574,-143,0,0,0,28928,0,0,0
170,1762631673591,-152,0,0,0,26624,0,0,0
171,1762631673606,-151,0,0,0,26880,0,0,0
172,1762631673623,-155,0,0,0,25856,0,0,0
173,1762631673657,-159,0,0,0,24832,0,0,0
174,1762631673673,-153,0,0,0,26368,0,0,0
175,1762631673689,-143,0,0,0,28928,0,0,0
176,1762631673706,-158,0,0,0,25088,0,0,0
177,1762631673724,-153,0,0,0,26368,0,0,0
178,1762631673758,-143,0,0,0,28928,0,0,0
179,1762631673773,-158,0,0,0,25088,0,0,0
180,1762631673789,-159,0,0,0,24832,0,0,0
181,1762631673806,-159,0,0,0,24832,0,0,0
182,1762631673839,-146,0,0,0,28160,0,0,0
183,1762631673857,-159,0,0,0,24832,0,0,0
184,1762631673873,-165,0,0,0,23296,0,0,0
185,1762631673890,-159,0,0,0,24832,0,0,0
186,1762631673906,-155,0,0,0,25856,0,0,0
187,1762631673923,-148,0,0,0,27648,0,0,0
188,1762631673956,-165,0,0,0,23296,0,0,0
189,1762631673974,-163,0,0,0,23808,0,0,0
190,1762631673990,-153,0,0,0,26368,0,0,0
191,1762631674007,-153,0,0,0,26368,0,0,0
192,1762631674024,-171,0,0,0,21760,0,0,0
193,1762631674056,-157,0,0,0,25344,0,0,0
194,1762631674072,-141,0,0,0,29440,0,0,0
195,1762631674089,-147,0,0,0,27904,0,0,0
196,1762631674106,-148,0,0,0,27648,0,0,0
197,1762631674123,-157,0,0,0,25344,0,0,0
198,1762631674156,-165,0,0,0,23296,0,0,0
199,1762631674173,-175,0,0,0,20736,0,0,0
200,1762631674189,-153,0,0,0,26368,0,0,0
201,1762631674206,-146,0,0,0,28160,0,0,0
202,1762631674223,-161,0,0,0,24320,0,0,0
203,1762631674256,-151,0,0,0,26880,0,0,0
204,1762631674273,-153,0,0,0,26368,0,0,0
205,1762631674290,-167,0,0,0,22784,0,0,0
