index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
228,1782588570447,0,0
229,1782588571412,1,0
230,1782588572045,3,0
231,1782588572528,4,0
232,1782588573111,7,0
233,1782588573527,8,0
234,1782588573661,10,0
235,1782588574077,11,0
236,1782588574677,15,0
237,1782588575725,21,0
238,1782588575992,23,0
239,1782588576709,27,0
240,1782588577308,33,0
241,1782588578940,43,0
242,1782588580005,48,0
243,1782588581521,53,0
244,1782588581987,54,0
245,1782588582953,56,0
246,1782588583319,57,0
247,1782588584190,58,0
248,1782588584218,59,0
249,1782588585535,61,0
250,1782588585767,61,0
251,1782588585969,61,0
252,1782588586933,63,0
253,1782588587317,63,0
254,1782588589947,65,0
255,1782588590863,65,0
256,1782588591580,65,0
257,1782588592561,65,0
258,1782588593144,65,0
259,1782588593527,65,0
260,1782588595176,65,0
261,1782588595692,65,0
262,1782588596142,65,0
263,1782588596741,65,0
264,1782588597141,65,0
265,1782588598673,65,0
266,1782588599755,65,0
267,1782588600688,65,0
268,1782588601337,65,0
269,1782588602370,65,0
270,1782588602687,65,0
271,1782588603303,65,0
272,1782588603951,65,0
273,1782588604951,65,0
274,1782588606186,65,0
275,1782588606549,66,0
276,1782588606949,66,0
277,1782588607832,67,0
278,1782588608448,67,0
279,1782588608864,67,0
280,1782588610696,68,0
281,1782588611745,69,0
282,1782588612644,69,0
283,1782588613228,69,0
284,1782588614226,69,0
285,1782588614642,69,0
286,1782588615177,69,0
287,1782588616225,70,0
288,1782588618173,70,0
289,1782588619206,70,0
290,1782588619805,70,0
291,1782588620088,70,0
292,1782588620671,70,0
293,1782588621087,70,0
294,1782588621720,70,0
295,1782588622003,70,0
296,1782588622269,70,0
297,1782588622736,70,0
298,1782588623318,70,0
299,1782588623751,70,0
300,1782588625251,70,0
301,1782588626249,70,0
302,1782588626682,70,0
303,1782588626899,70,0
304,1782588627132,70,0
305,1782588628231,70,0
306,1782588629197,70,0
307,1782588629780,70,0
308,1782588630430,70,0
309,1782588630912,70,0
310,1782588631495,70,0
311,1782588632478,70,0
312,1782588633377,70,0
313,1782588633776,70,0
314,1782588634193,70,0
315,1782588634226,70,0
316,1782588634692,70,0
317,1782588635625,70,0
318,1782588635975,70,0
319,1782588636640,70,0
320,1782588636774,70,0
321,1782588637190,70,0
322,1782588637790,70,0
323,1782588638123,70,0
324,1782588640089,70,0
325,1782588641121,70,0
326,1782588641421,70,0
327,1782588641554,70,0
328,1782588642652,70,0
329,1782588643684,70,0
330,1782588644168,70,0
331,1782588644567,70,0
332,1782588645184,70,0
333,1782588645666,70,0
334,1782588646782,70,0
335,1782588647248,70,0
336,1782588647815,70,0
337,1782588648297,70,0
338,1782588648830,70,0
339,1782588650218,71,0
340,1782588650430,73,0
341,1782588650912,74,0
342,1782588651129,75,0
343,1782588651462,76,0
344,1782588652044,79,0
345,1782588652513,81,0
346,1782588653127,85,0
347,1782588653443,87,0
348,1782588654109,91,0
349,1782588654725,95,0
350,1782588655441,102,0
351,1782588655907,104,0
352,1782588655991,106,0
353,1782588656424,108,0
354,1782588657023,112,0
355,1782588658106,116,0
356,1782588659022,119,0
357,1782588659988,121,0
358,1782588660404,121,0
359,1782588661214,122,0
360,1782588661237,122,0
361,1782588661819,123,0
362,1782588662236,124,0
363,1782588663468,125,0
364,1782588664018,126,0
365,1782588664334,127,0
366,1782588664767,127,0
367,1782588665383,128,0
368,1782588666382,129,0
369,1782588666982,129,0
370,1782588668264,130,0
371,1782588668964,130,0
372,1782588669979,130,0
373,1782588670613,130,0
374,1782588671595,130,0
375,1782588672261,130,0
376,1782588672677,130,0
377,1782588672927,130,0
378,1782588673193,130,0
379,1782588673826,130,0
380,1782588674259,130,0
381,1782588674859,130,0
382,1782588675191,130,0
383,1782588675841,130,0
384,1782588676474,130,0
385,1782588676874,130,0
386,1782588677540,130,0
387,1782588678422,130,0
388,1782588679388,130,0
389,1782588679854,130,0
390,1782588680104,130,0
391,1782588689130,0,0
392,1782588689829,0,0
393,1782588690545,0,0
394,1782588691494,0,0
395,1782588691994,0,0
396,1782588692177,0,0
397,1782588692527,0,0
398,1782588693110,0,0
399,1782588693360,0,0
400,1782588693644,0,0
401,1782588694009,0,0
402,1782588694376,0,0
403,1782588694593,0,0
404,1782588694775,0,0
405,1782588695175,0,0
406,1782588695508,0,0
407,1782588698423,0,0
408,1782588698806,0,0
409,1782588699105,0,0
410,1782588699422,0,0
411,1782588699938,0,0
412,1782588700304,0,0
413,1782588700654,0,0
414,1782588702069,0,0
415,1782588702519,0,0
416,1782588704117,0,0
417,1782588705283,0,0
418,1782588705583,0,0
419,1782588705899,0,0
420,1782588706232,0,0
421,1782588706549,0,0
422,1782588706749,0,0
423,1782588707015,0,0
424,1782588707381,0,0
425,1782588707664,0,0
426,1782588707981,0,0
427,1782588708264,0,0
428,1782588708680,0,0
429,1782588708980,0,0
430,1782588709247,0,0
431,1782588709396,0,0
432,1782588709663,0,0
433,1782588710095,0,0
434,1782588710396,0,0
435,1782588711045,0,0
436,1782588711727,0,0
437,1782588712027,0,0
438,1782588712394,0,0
439,1782588712727,0,0
440,1782588712977,0,0
441,1782588713526,0,2304
442,1782588713543,0,0
443,1782588713893,0,0
444,1782588714941,0,0
445,1782588715525,0,0
446,1782588715858,0,0
447,1782588716141,0,0
448,1782588718706,0,0
449,1782588720204,0,0
450,1782588720554,0,0
451,1782588720887,0,0
452,1782588721203,0,0
453,1782588721919,0,0
454,1782588722219,0,0
455,1782588722536,0,0
456,1782588722885,0,0
457,1782588723218,0,0
458,1782588723534,0,0
459,1782588723701,0,0
460,1782588724534,0,0
461,1782588724633,0,0
462,1782588724967,0,0
463,1782588725350,0,0
464,1782588726249,0,0
465,1782588726399,0,0
466,1782588726766,0,0
467,1782588727115,0,0
468,1782588729146,0,0
469,1782588733193,0,0
470,1782588734908,0,2304
471,1782588735558,0,0
472,1782588735691,0,0
473,1782588735890,0,0
474,1782588736075,0,0
475,1782588736473,0,0
476,1782588736840,0,0
477,1782588738506,0,0
478,1782588738922,0,0
479,1782588740937,0,0
480,1782588741203,0,0
481,1782588741503,0,0
482,1782588741836,0,0
483,1782588742068,0,0
484,1782588742369,0,0
485,1782588742968,0,0
486,1782588743134,0,0
487,1782588744017,0,0
488,1782588744350,0,0
489,1782588744633,0,0
490,1782588745016,0,0
491,1782588745283,0,0
492,1782588745633,0,0
493,1782588746534,0,0
494,1782588746548,0,0
495,1782588746764,0,0
496,1782588748264,0,0
497,1782588748531,0,0
498,1782588750246,0,0
499,1782588751477,0,0
500,1782588751828,0,0
501,1782588752194,0,0
502,1782588752461,0,0
503,1782588752793,0,0
504,1782588752943,0,0
505,1782588753210,0,0
506,1782588753609,0,0
507,1782588753942,0,0
508,1782588754258,0,0
509,1782588755708,0,0
510,1782588757529,0,0
