index,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
0,4,-9,0,0,0,0,0,0
1,3,-8,-1,0,0,0,0,0
2,2,-9,-1,0,0,0,0,0
3,3,-8,-1,0,0,0,0,0
4,2,-8,0,0,0,0,0,0
5,4,-7,0,0,0,0,0,0
6,2,-7,-1,0,0,0,0,0
7,1,-8,0,0,0,0,0,0
8,3,-7,0,0,0,0,0,0
9,2,-7,0,0,0,0,0,0
10,3,-8,-1,0,0,0,0,0
11,2,-6,-1,0,0,0,0,0
12,3,-6,-1,0,0,0,0,0
13,2,-8,0,0,0,0,0,0
14,2,-7,0,0,0,0,0,0
15,3,-7,-1,0,0,0,0,0
16,3,-8,0,0,0,0,0,0
17,3,-7,0,0,0,0,0,0
18,2,-8,0,0,0,0,0,0
19,3,-7,1,0,0,0,0,0
20,2,-8,0,0,0,0,0,0
21,3,-8,1,0,0,0,0,0
22,2,-7,-1,0,0,0,0,0
23,1,-7,1,0,0,0,0,0
24,1,-8,0,0,0,0,0,0
25,3,-8,-2,0,0,0,0,0
26,3,-7,1,0,0,0,0,0
27,4,-6,1,0,0,0,0,0
28,2,-7,0,0,0,0,0,0
29,0,-8,0,0,0,0,0,0
30,4,-6,-2,0,0,0,0,0
31,3,-8,0,0,0,0,0,0
32,4,-7,0,0,0,0,0,0
33,3,-7,0,0,0,0,0,0
34,2,-8,0,0,0,0,0,0
35,3,-6,0,0,0,0,0,0
36,3,-7,-1,0,0,0,0,0
37,2,-7,-1,0,0,0,0,0
38,10,2,-28,0,0,0,0,0
39,2,-9,-1,0,0,0,0,0
40,6,-7,-1,0,0,0,0,0
41,1,-7,-1,0,0,0,0,0
42,6,-8,-1,0,0,0,0,0
43,4,-6,0,0,0,0,0,0
44,4,-7,-1,0,0,0,0,0
45,3,-7,0,0,0,0,0,0
46,3,-7,-2,0,0,0,0,0
47,2,-7,0,0,0,0,0,0
48,6,-7,-1,0,0,0,0,0
49,4,-8,-2,0,0,0,0,0
50,4,-6,-2,0,0,0,0,0
51,3,-8,-1,0,0,0,0,0
52,3,-7,-1,0,0,0,0,0
53,3,-7,-256,0,0,0,0,0
54,2,-7,-1,0,0,0,0,0
55,2,-6,1,0,0,0,0,0
56,4,-8,-1,0,0,0,0,0
57,3,-8,0,0,0,0,0,0
58,3,-6,0,0,0,0,0,0
59,4,-7,-1,0,0,0,0,0
60,1,-8,-1,0,0,0,0,0
61,2,-7,0,0,0,0,0,0
62,4,-7,1,0,0,0,0,0
63,6,-7,0,0,0,0,0,0
64,1,-7,-1,0,0,0,0,0
65,3,-7,0,0,0,0,0,0
66,1,-7,0,0,0,0,0,0
67,-1,-7,0,0,0,0,0,0
68,3,-8,-1,0,0,0,0,0
69,3,-5,-2,0,0,0,0,0
70,3,-8,-1,0,0,0,0,0
71,6,-6,-1,0,0,0,0,0
72,1,-8,1,0,0,0,0,0
73,5,-7,-1,0,0,0,0,0
74,5,-7,-2,0,0,0,0,0
75,1,-7,0,0,0,0,0,0
76,4,-8,0,0,0,0,0,0
77,2,-9,-1,0,0,0,0,0
78,2,-8,-1,0,0,0,0,0
79,3,-8,0,0,0,0,0,0
80,4,-8,0,0,0,0,0,0
81,3,-9,0,0,0,0,0,0
82,3,-7,0,0,0,0,0,0
83,3,-9,-1,0,0,0,0,0
84,2,-6,0,0,0,0,0,0
85,1,-7,-1,0,0,0,0,0
86,2,-8,0,0,0,0,0,0
87,2,-7,0,0,0,0,0,0
88,2,-7,0,0,0,0,0,0
89,2,-7,0,0,0,0,0,0
90,2,-7,-1,0,0,0,0,0
91,2,-7,-1,0,0,0,0,0
92,4,-7,0,0,0,0,0,0
93,5,-6,0,0,0,0,0,0
94,2,-9,-1,0,0,0,0,0
95,2,-8,0,0,0,0,0,0
96,5,-7,0,0,0,0,0,0
97,2,-8,0,0,0,0,0,0
98,4,-6,0,0,0,0,0,0
99,3,-7,0,0,0,0,0,0
100,4,-7,1,0,0,0,0,0
101,1,-6,0,0,0,0,0,0
102,6,-7,-1,0,0,0,0,0
103,1,-7,-1,0,0,0,0,0
104,2,-6,0,0,0,0,0,0
105,2,-7,-1,0,0,0,0,0
106,2,-8,1,0,0,0,0,0
107,1,-8,0,0,0,0,0,0
108,5,-7,1,0,0,0,0,0
109,2,-7,1,0,0,0,0,0
110,2,-8,0,0,0,0,0,0
111,3,-6,0,0,0,0,0,0
112,2,-6,-1,0,0,0,0,0
113,2,-7,0,0,0,0,0,0
114,3,-7,-1,0,0,0,0,0
115,1,-6,255,0,0,0,0,0
116,3,-7,-1,0,0,0,0,0
117,4,-7,-1,0,0,0,0,0
118,3,-7,-1,0,0,0,0,0
119,3,-8,-1,0,0,0,0,0
120,2,-7,0,0,0,0,0,0
121,1,-6,-1,0,0,0,0,0
122,2,-8,1,0,0,0,0,0
123,0,-7,-1,0,0,0,0,0
124,3,-8,-2,0,0,0,0,0
125,3,-7,-256,0,0,0,0,0
126,2,-7,-1,0,0,0,0,0
127,2,-6,-2,0,0,0,0,0
128,3,-7,-1,0,0,0,0,0
129,2,-8,-1,0,0,0,0,0
130,1,-8,-1,0,0,0,0,0
131,4,-7,-1,0,0,0,0,0
132,2,-8,-1,0,0,0,0,0
133,2,-7,0,0,0,0,0,0
134,2,-6,1,0,0,0,0,0
135,4,-7,0,0,0,0,0,0
136,1,-9,0,0,0,0,0,0
137,2,-7,-1,0,0,0,0,0
138,2,-8,-1,0,0,0,0,0
139,1,-8,-1,0,0,0,0,0
140,1,-7,1,0,0,0,0,0
141,5,-6,1,0,0,0,0,0
142,1,-8,-1,0,0,0,0,0
143,3,-7,0,0,0,0,0,0
144,1,-8,-1,0,0,0,0,0
145,4,-5,-1,0,0,0,0,0
146,3,-8,-1,0,0,0,0,0
147,3,-9,1,0,0,0,0,0
148,3,-8,1,0,0,0,0,0
149,2,-7,-2,0,0,0,0,0
150,2,-7,-1,0,0,0,0,0
151,3,-8,-1,0,0,0,0,0
152,4,-7,0,0,0,0,0,0
153,6,-6,0,0,0,0,0,0
154,2,-7,0,0,0,0,0,0
155,3,-7,-1,0,0,0,0,0
156,2,-9,-1,0,0,0,0,0
157,4,-6,0,0,0,0,0,0
158,3,-7,1,0,0,0,0,0
159,1,-7,-1,0,0,0,0,0
160,2,-8,-1,0,0,0,0,0
161,4,-7,255,0,0,0,0,0
162,1,-8,0,0,0,0,0,0
163,3,-8,0,0,0,0,0,0
164,2,-6,0,0,0,0,0,0
165,3,-8,0,0,0,0,0,0
166,1,-8,-2,0,0,0,0,0
167,3,-7,-1,0,0,0,0,0
168,2,-6,0,0,0,0,0,0
169,2,-8,0,0,0,0,0,0
170,4,-7,1,0,0,0,0,0
171,4,-7,-1,0,0,0,0,0
172,2,-7,0,0,0,0,0,0
173,2,-9,0,0,0,0,0,0
174,3,-6,-1,0,0,0,0,0
175,3,-8,-2,0,0,0,0,0
176,4,-7,-1,0,0,0,0,0
177,3,-7,-1,0,0,0,0,0
178,2,-8,-1,0,0,0,0,0
179,3,-7,0,0,0,0,0,0
180,2,-7,0,0,0,0,0,0
181,3,-8,-1,0,0,0,0,0
182,2,-7,0,0,0,0,0,0
183,1,-7,-1,0,0,0,0,0
184,2,-8,0,0,0,0,0,0
185,4,-7,-1,0,0,0,0,0
186,2,-6,-1,0,0,0,0,0
187,4,-8,-1,0,0,0,0,0
188,2,-7,0,0,0,0,0,0
189,3,-8,0,0,0,0,0,0
190,2,-8,1,0,0,0,0,0
191,3,-8,-1,0,0,0,0,0
192,3,-8,-1,0,0,0,0,0
193,3,-8,0,0,0,0,0,0
194,2,-7,1,0,0,0,0,0
195,3,-8,1,0,0,0,0,0
196,1,-6,255,0,0,0,0,0
197,3,-7,-1,0,0,0,0,0
198,1,-6,0,0,0,0,0,0
199,2,-8,-1,0,0,0,0,0
200,3,-8,1,0,0,0,0,0
201,3,-7,255,0,0,0,0,0
202,2,-8,0,0,0,0,0,0
203,2,-8,-2,0,0,0,0,0
204,4,-8,0,0,0,0,0,0
205,4,-7,0,0,0,0,0,0
206,0,-7,1,0,0,0,0,0
207,3,-7,-1,0,0,0,0,0
208,2,-9,-1,0,0,0,0,0
209,4,-8,-1,0,0,0,0,0
210,3,-6,-1,0,0,0,0,0
211,4,-8,-1,0,0,0,0,0
212,4,-8,0,0,0,0,0,0
213,5,-9,-1,0,0,0,0,0
214,1,-7,-1,0,0,0,0,0
215,2,-7,0,0,0,0,0,0
216,4,-6,0,0,0,0,0,0
217,2,-7,0,0,0,0,0,0
218,2,-8,0,0,0,0,0,0
219,1,-9,0,0,0,0,0,0
220,2,-7,-1,0,0,0,0,0
221,2,-8,0,0,0,0,0,0
222,3,-7,0,0,0,0,0,0
223,3,-6,1,0,0,0,0,0
224,2,-7,0,0,0,0,0,0
225,1,-7,0,0,0,0,0,0
226,2,-7,0,0,0,0,0,0
227,3,-7,0,0,0,0,0,0
228,2,-7,-2,0,0,0,0,0
229,2,-6,0,0,0,0,0,0
230,4,-7,0,0,0,0,0,0
231,3,-7,-1,0,0,0,0,0
232,3,-6,-1,0,0,0,0,0
233,2,-8,0,0,0,0,0,0
234,2,-7,-1,0,0,0,0,0
235,1,-7,0,0,0,0,0,0
236,5,-8,-1,0,0,0,0,0
237,1,-8,-2,0,0,0,0,0
238,2,-7,-1,0,0,0,0,0
239,3,-8,-1,0,0,0,0,0
240,4,-7,0,0,0,0,0,0
241,3,-7,-1,0,0,0,0,0
242,3,-8,0,0,0,0,0,0
243,2,-6,-1,0,0,0,0,0
244,3,-5,-1,0,0,0,0,0
245,4,-7,-1,0,0,0,0,0
246,4,-7,-1,0,0,0,0,0
247,3,-6,0,0,0,0,0,0
248,3,-9,0,0,0,0,0,0
249,4,-7,0,0,0,0,0,0
250,2,-7,1,0,0,0,0,0
251,4,-9,-1,0,0,0,0,0
252,0,-8,-1,0,0,0,0,0
253,3,-8,0,0,0,0,0,0
254,4,-7,-1,0,0,0,0,0
255,2,-7,0,0,0,0,0,0
256,4,-7,-1,0,0,0,0,0
257,3,-7,-1,0,0,0,0,0
258,1,-7,1,0,0,0,0,0
259,2,-8,0,0,0,0,0,0
260,3,-7,-1,0,0,0,0,0
261,3,-6,-1,0,0,0,0,0
262,2,-6,0,0,0,0,0,0
263,3,-8,-2,0,0,0,0,0
264,3,-8,0,0,0,0,0,0
265,3,-7,-1,0,0,0,0,0
266,4,-8,-1,0,0,0,0,0
267,3,-6,-1,0,0,0,0,0
268,3,-7,-1,0,0,0,0,0
269,3,-8,0,0,0,0,0,0
270,5,-6,-1,0,0,0,0,0
271,4,-7,0,0,0,0,0,0
272,3,-7,0,0,0,0,0,0
273,2,-8,0,0,0,0,0,0
274,4,-6,-1,0,0,0,0,0
275,1,-7,-1,0,0,0,0,0
276,4,-8,0,0,0,0,0,0
277,3,-9,1,0,0,0,0,0
278,0,-7,-1,0,0,0,0,0
279,4,-7,0,0,0,0,0,0
280,-37,-16,-16,0,0,0,0,0
281,-12,-8,-4,1002,0,0,0,0
282,-70,-3,24,0,0,0,0,0
283,-147,2,-71,0,0,0,0,0
284,173,21,32,0,0,0,0,0
285,88,15,37,1283,0,0,0,0
286,-1,-31,2,0,0,0,0,0
287,13,22,-77,251,0,0,0,0
288,-68,17,14,0,0,0,0,0
289,-51,-37,-8,0,0,0,0,0
290,-27,6,-35,0,0,0,0,0
291,-98,-3,-8,0,0,0,0,0
292,-31,1,37,205,0,0,0,0
293,12,-32,31,0,0,0,0,0
294,73,2,74,0,0,0,0,0
295,-121,0,-16,1038,0,0,0,0
296,-51,-7,22,0,0,0,0,0
297,83,24,-5,0,0,0,0,0
298,23,23,32,0,0,0,0,0
299,16,-7,-20,0,0,0,0,0
300,-8,4,-23,0,0,0,0,0
301,58,0,23,0,0,0,0,0
302,-66,2,21,0,0,0,0,0
303,76,8,41,0,0,0,0,0
304,44,3,17,0,0,0,0,0
305,178,20,7,0,0,0,0,0
306,-92,-39,12,987,0,0,0,0
307,118,-6,17,0,0,0,0,0
308,-200,-24,-18,0,0,0,0,0
309,-67,-34,-49,0,0,0,0,0
310,79,-2,25,0,0,0,0,0
311,-51,-25,-76,0,0,0,0,0
312,33,-21,-44,0,0,0,0,0
313,-103,7,-41,0,0,0,0,0
314,-90,-30,-21,0,0,0,0,0
315,23,-35,20,0,0,0,0,0
316,-81,-32,36,0,0,0,0,0
317,-4,-43,7,0,0,0,0,0
318,-72,-25,-63,1326,0,0,0,0
319,106,-1,4,0,0,0,0,0
320,32,-48,25,1328,0,0,0,0
321,-8,-27,20,0,0,0,0,0
322,45,-39,18,0,0,0,0,0
323,51,-44,0,0,0,0,0,0
324,-35,-54,-47,0,0,0,0,0
325,-33,-54,52,979,0,0,0,0
326,23,-98,-55,0,0,0,0,0
327,36,-77,28,0,0,0,0,0
328,-38,-107,27,0,0,0,0,0
329,126,-67,7,0,0,0,0,0
330,5,-112,-30,971,0,0,0,0
331,-31,-121,53,0,0,0,0,0
332,117,-90,1,0,0,0,0,0
333,-82,-112,-25,0,0,0,0,0
334,155,-87,5,0,0,0,0,0
335,-10,-89,-23,0,0,0,0,0
336,111,-113,-9,0,0,0,0,0
337,-210,-103,-5,0,0,0,0,0
338,125,-103,22,0,0,0,0,0
339,-173,-110,-12,312,0,0,0,0
340,-36,-87,-9,0,0,0,0,0
341,-55,-88,10,1327,0,0,0,0
342,77,-85,25,0,0,0,0,0
343,-159,-112,25,1052,0,0,0,0
344,-2,-87,20,0,0,0,0,0
345,-53,-111,88,0,0,0,0,0
346,34,-51,46,0,0,0,0,0
347,162,-28,-46,0,0,0,0,0
348,-21,-75,51,0,0,0,0,0
349,-106,-98,-12,0,0,0,0,0
350,15,-53,26,0,0,0,0,0
351,121,-29,61,0,0,0,0,0
352,75,-29,-15,0,0,0,0,0
353,2,-26,10,0,0,0,0,0
354,-74,-39,51,0,0,0,0,0
355,-91,-70,9,0,0,0,0,0
356,4,-37,-14,0,0,0,0,0
357,-125,-84,-7,0,0,0,0,0
358,-5,-47,6,0,0,0,0,0
359,120,-61,24,0,0,0,0,0
360,-88,-47,-4,0,0,0,0,0
361,-27,-73,-13,0,0,0,0,0
362,-44,-71,13,0,0,0,0,0
363,-107,-50,-24,0,0,0,0,0
364,-96,-55,-31,284,0,0,0,0
365,68,-25,-30,0,0,0,0,0
366,-17,-50,13,324,0,0,0,0
367,53,-43,31,0,0,0,0,0
368,151,-51,2,265,0,0,0,0
369,-91,-51,6,0,0,0,0,0
370,13,-12,3,216,0,0,0,0
371,-75,-47,0,0,0,0,0,0
372,-16,-22,59,177,0,0,0,0
373,159,26,245,0,0,0,0,0
374,-78,-12,-17,7,0,0,0,0
375,-32,-3,-33,0,0,0,0,0
