index,date,MAX_VOLTAGE,MIN_VOLTAGE,MAX_TEMPERATURE,ACUMULATOR_VOLTAGE
0,1780260524819,0,6.55,0,7950
1,1780260527786,0,6.55,0,7950
2,1780260528536,0,6.55,0,7950
3,1780260529923,0,6.55,0,7950
4,1780260530303,0,6.55,0,7949
5,1780260535369,0,6.55,0,7950
6,1780260536119,0,6.55,0,7950
7,1780260537518,0,6.55,0,7946
8,1780260544036,0,6.55,0,7950
9,1780260544854,0,6.55,0,7950
10,1780260549852,0,6.55,0,7950
11,1780260562934,0,6.55,0,7950
12,1780260572952,0,6.55,0,7950
13,1780260580085,0,6.55,0,7750
14,1780260581483,0,6.55,0,7779
15,1780260581600,0,6.55,0,7779
16,1780260584866,0,6.55,0,7652
17,1780260586300,0,6.55,0,7899
18,1780260589117,0,6.55,0,7915
19,1780260590349,0,6.55,0,7918
20,1780260593733,0,6.55,0,7918
21,1780260595998,0,6.55,0,7921
22,1780260596949,0,0.79,132.6,0
23,1780260597366,0,6.55,0,7923
24,1780260598469,0,6.55,0,7923
25,1780260600999,0,6.55,0,7925
26,1780260602148,0,6.55,0,7927
27,1780260603132,0,6.55,0,7928
28,1780260608366,0,6.55,0,7932
29,1780260616581,0,6.55,0,7932
30,1780260619214,0,6.55,0,7933
31,1780260620831,0,6.55,0,7934
32,1780260622197,0,6.55,0,7934
