index,date,ERROR_MASK,ERROR_LOG_1,ERROR_LOG_2,ERROR_LOG_3
0,1780260522753,0,0,0,0
1,1780260523620,0,0,0,0
2,1780260525102,0,0,0,0
3,1780260525353,0,0,0,0
4,1780260531286,0,0,0,0
5,1780260539136,0,0,0,0
6,1780260543618,0,0,0,0
7,1780260543869,0,0,0,0
8,1780260544735,0,0,0,0
9,1780260544902,0,0,0,0
10,1780260545485,0,0,0,0
11,1780260548035,0,0,0,0
12,1780260552619,0,0,0,0
13,1780260570134,0,0,0,0
14,1780260581651,0,0,0,0
15,1780260584899,0,0,0,0
16,1780260585233,0,0,0,0
17,1780260589150,0,0,0,0
18,1780260592699,0,0,0,0
19,1780260604865,0,0,0,0
20,1780260610765,0,0,0,0
21,1780260616415,0,0,0,0
22,1780260619431,0,0,0,0
23,1780260619598,0,0,0,0
24,1780260622481,0,0,0,0
25,1780260623264,0,0,0,0
