index,date,LATITUDE
0,1780260527087,-19.8728
1,1780260529069,-19.8728
2,1780260532986,-19.8728
3,1780260533236,-19.8728
4,1780260533602,-19.8729
5,1780260534135,-19.8729
6,1780260540419,-19.8729
7,1780260542185,-19.8729
8,1780260542519,-19.8729
9,1780260543785,-19.8729
10,1780260550352,-19.8729
11,1780260554551,-19.8729
12,1780260559384,-19.8729
13,1780260560501,-19.8729
14,1780260567134,-19.8729
15,1780260567333,-19.8729
16,1780260569567,-19.8729
17,1780260571134,-19.8729
18,1780260575634,-19.8729
19,1780260576450,-19.8729
20,1780260578266,-19.8729
21,1780260578517,-19.8729
22,1780260580000,-19.8729
23,1780260580250,-19.8729
24,1780260582799,-19.8729
25,1780260586400,-19.8728
26,1780260587800,-19.8728
27,1780260588499,-19.8728
28,1780260593649,-19.8729
29,1780260594099,-19.8729
30,1780260599299,-19.8729
31,1780260599766,-19.8729
32,1780260609281,-19.8729
33,1780260610315,-19.8729
34,1780260611547,-19.8729
35,1780260612248,-19.8729
36,1780260613248,-19.8729
37,1780260613415,-19.8729
38,1780260614564,-19.8729
39,1780260616014,-19.8729
40,1780260616214,-19.8729
41,1780260617666,-19.8729
42,1780260618599,-19.8729
43,1780260623764,-19.8729
