index,date,Igual a,Fora da Faixa,Dentro da Faixa,Maior que,Menor que
59,1782675643683,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.430000
60,1782675645449,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.400000
61,1782675645450,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 71.880000
62,1782675965771,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.470000
63,1782675980887,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.470000
64,1782675985604,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.400000
65,1782675988604,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.290000
66,1782675988605,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 70.790000
67,1782675991638,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.440000
68,1782675991639,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 71.830000
69,1782676173190,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.430000
70,1782676173191,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 71.500000
71,1782676483095,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.360000
72,1782676483096,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 71.390000
73,1782676485729,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.390000
