index,date,FRONT_LEFT,FRONT_RIGHT,REAR_LEFT,REAR_RIGHT
0,1780264173885,0,0,0,4
1,1780264173885,0,0,0,4
2,1780264173929,0,0,0,4
3,1780264174962,0,0,0,4
4,1780264175463,0,0,0,4
5,1780264175535,0,0,0,4
6,1780264176445,0,0,0,4
7,1780264177563,0,0,0,4
8,1780264177645,0,0,0,4
9,1780264178214,0,0,0,4
10,1780264178595,0,0,0,4
11,1780264181145,0,0,0,4
12,1780264182395,0,0,0,4
13,1780264182595,0,0,0,4
14,1780264184444,0,0,2,5
15,1780264184895,0,0,0,5
16,1780264186462,0,0,0,5
17,1780264187378,0,0,0,5
18,1780264189144,0,0,0,5
19,1780264194311,0,0,2,5
20,1780264194562,0,0,2,5
21,1780264195211,0,0,2,5
22,1780264196979,0,0,2,5
23,1780264197229,0,0,2,5
24,1780264200861,0,0,2,5
25,1780264203544,0,0,0,5
26,1780264204377,0,0,0,5
27,1780264204577,0,0,0,5
28,1780264205810,0,0,0,5
29,1780264206593,0,0,0,5
30,1780264208160,0,0,0,5
31,1780264209727,0,0,0,5
32,1780264210144,0,0,0,5
33,1780264210760,0,0,0,5
34,1780264214426,0,0,192,0
35,1780264214560,0,0,192,0
36,1780264217610,0,0,192,0
37,1780264220092,0,0,192,0
38,1780264224326,0,0,192,0
39,1780264225077,0,0,192,0
40,1780264228626,0,0,192,0
41,1780264229825,0,0,192,0
42,1780264230608,0,0,192,0
43,1780264232208,0,0,192,0
44,1780264232742,0,0,192,0
45,1780264234442,0,0,192,0
46,1780264235225,0,0,192,0
47,1780264239141,0,0,192,0
48,1780264239308,0,0,192,0
49,1780264239642,0,0,192,0
50,1780264239958,0,0,192,0
51,1780264240208,0,0,192,0
52,1780264240741,0,0,192,0
53,1780264242108,0,0,192,0
54,1780264242309,0,0,192,0
55,1780264244659,0,0,192,0
56,1780264246975,0,0,192,0
57,1780264247391,0,0,192,0
58,1780264252458,0,0,192,0
59,1780264256125,0,0,192,0
60,1780264257574,0,0,192,0
61,1780264258074,0,0,192,0
62,1780264258890,0,0,192,0
63,1780264259925,0,0,192,0
64,1780264260458,0,0,192,0
65,1780264260790,0,0,192,0
66,1780264264790,0,0,192,0
67,1780264266273,0,0,192,0
68,1780264267675,0,0,192,0
69,1780264270026,0,0,192,0
70,1780264271107,0,0,192,0
71,1780264273907,0,0,192,0
72,1780264276674,0,0,192,0
73,1780264277123,0,0,192,0
74,1780264277956,0,0,192,0
75,1780264278939,0,0,192,0
76,1780264280056,0,0,192,0
77,1780264280706,0,0,192,0
78,1780264281039,0,0,192,0
79,1780264283390,0,0,192,0
80,1780264284007,0,0,192,0
81,1780264285823,0,0,192,0
82,1780264286822,0,0,192,0
83,1780264287855,0,0,192,0
