index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR,CURRENT_R_MOTOR,1,2,3,4
0,1762968053919,0,0,0,0,0,0,0,0
1,1762968054020,0,0,0,0,0,0,0,0
2,1762968054136,0,0,0,0,0,0,0,0
3,1762968054253,0,0,0,0,0,0,0,0
4,1762968054469,0,0,0,0,0,0,0,0
5,1762968054603,0,0,0,0,0,0,0,0
6,1762968054735,0,0,0,0,0,0,0,0
7,1762968054803,0,0,0,0,0,0,0,0
8,1762968054919,0,0,0,0,0,0,0,0
9,1762968055020,0,0,0,0,0,0,0,0
10,1762968055452,0,0,0,0,0,0,0,0
11,1762968055602,0,0,0,0,0,0,0,0
12,1762968055685,0,0,0,0,0,0,0,0
13,1762968055785,0,0,0,0,0,0,0,0
14,1762968055901,0,0,0,0,0,0,0,0
15,1762968056002,0,0,0,0,0,0,0,0
16,1762968056118,0,0,0,0,0,0,0,0
17,1762968056234,0,0,0,0,0,0,0,0
18,1762968056451,0,0,0,0,0,0,0,0
19,1762968056551,0,0,0,0,0,0,0,0
20,1762968056684,0,0,0,0,0,0,0,0
21,1762968056884,0,0,0,0,0,0,0,0
22,1762968057117,0,0,0,0,0,0,0,0
23,1762968057217,0,0,0,0,0,0,0,0
24,1762968057334,0,0,0,0,0,0,0,0
25,1762968057550,0,0,0,0,0,0,0,0
26,1762968057783,0,0,0,0,0,0,0,0
27,1762968057883,0,0,0,0,0,0,0,0
28,1762968057983,0,0,0,0,0,0,0,0
29,1762968058099,0,0,0,0,0,0,0,0
30,1762968058316,0,0,0,0,0,0,0,0
31,1762968058533,0,0,0,0,0,0,0,0
32,1762968058649,0,0,0,0,0,0,0,0
33,1762968058749,0,0,0,0,0,0,0,0
34,1762968058882,0,0,0,0,0,0,0,0
35,1762968059199,0,0,0,0,0,0,0,0
36,1762968059415,0,0,0,0,0,0,0,0
37,1762968059532,0,0,0,0,0,0,0,0
38,1762968059648,0,0,0,0,0,0,0,0
39,1762968059765,0,0,0,0,0,0,0,0
40,1762968059848,0,0,0,0,0,0,0,0
41,1762968059965,0,0,0,0,0,0,0,0
42,1762968060064,0,0,0,0,0,0,0,0
43,1762968060414,0,0,0,0,0,0,0,0
44,1762968060547,0,0,0,0,0,0,0,0
45,1762968060731,0,0,0,0,0,0,0,0
46,1762968060947,0,0,0,0,0,0,0,0
47,1762968061063,0,0,0,0,0,0,0,0
48,1762968061163,0,0,0,0,0,0,0,0
49,1762968061330,0,0,0,0,0,0,0,0
50,1762968061397,0,0,0,0,0,0,0,0
51,1762968061514,0,0,0,0,0,0,0,0
52,1762968061663,0,0,0,0,0,0,0,0
53,1762968061830,0,0,0,0,0,0,0,0
54,1762968061947,0,0,0,0,0,0,0,0
55,1762968062063,0,0,0,0,0,0,0,0
56,1762968062179,0,0,0,0,0,0,0,0
57,1762968063146,0,0,0,0,0,0,0,0
58,1762968063278,0,0,0,0,0,0,0,0
59,1762968063378,0,0,0,0,0,0,0,0
60,1762968063478,0,0,0,0,0,0,0,0
61,1762968063628,0,0,0,0,0,0,0,0
62,1762968063728,0,0,0,0,0,0,0,0
63,1762968063812,0,0,0,0,0,0,0,0
64,1762968064144,0,0,0,0,0,0,0,0
65,1762968064245,0,0,0,0,0,0,0,0
66,1762968064378,0,0,0,0,0,0,0,0
67,1762968064494,0,0,0,0,0,0,0,0
68,1762968064594,0,0,0,0,0,0,0,0
69,1762968064812,0,0,0,0,0,0,0,0
70,1762968064912,0,0,0,0,0,0,0,0
71,1762968065027,0,0,0,0,0,0,0,0
72,1762968065261,0,0,0,0,0,0,0,0
73,1762968065361,0,0,0,0,0,0,0,0
74,1762968065477,0,0,0,0,0,0,0,0
75,1762968065576,0,0,0,0,0,0,0,0
76,1762968065793,0,0,0,0,0,0,0,0
77,1762968066027,0,0,0,0,0,0,0,0
78,1762968066126,0,0,0,0,0,0,0,0
79,1762968066242,0,0,0,0,0,0,0,0
80,1762968066342,0,0,0,0,0,0,0,0
81,1762968066459,0,0,0,0,0,0,0,0
82,1762968066575,0,0,0,0,0,0,0,0
83,1762968066676,0,0,0,0,0,0,0,0
84,1762968066891,0,0,0,0,0,0,0,0
85,1762968067125,0,0,0,0,0,0,0,0
86,1762968067342,0,0,0,0,0,0,0,0
87,1762968067442,0,0,0,0,0,0,0,0
88,1762968067558,0,0,0,0,0,0,0,0
89,1762968067681,0,0,0,0,0,0,0,0
90,1762968067791,0,0,0,0,0,0,0,0
91,1762968067891,0,0,0,0,0,0,0,0
92,1762968068109,0,0,0,0,0,0,0,0
93,1762968068558,0,0,0,0,0,0,0,0
94,1762968068658,0,0,0,0,0,0,0,0
95,1762968068874,0,0,0,0,0,0,0,0
96,1762968068991,0,0,0,0,0,0,0,0
97,1762968069091,0,0,0,0,0,0,0,0
98,1762968069207,0,0,0,0,0,0,0,0
99,1762968069323,0,0,0,0,0,0,0,0
100,1762968069423,0,0,0,0,0,0,0,0
101,1762968069541,0,0,0,0,0,0,0,0
102,1762968069640,0,0,0,0,0,0,0,0
103,1762968069757,0,0,0,0,0,0,0,0
104,1762968069874,0,0,0,0,0,0,0,0
105,1762968070090,0,0,0,0,0,0,0,0
106,1762968070207,0,0,0,0,0,0,0,0
107,1762968070306,0,0,0,0,0,0,0,0
108,1762968070423,0,0,0,0,0,0,0,0
109,1762968070523,0,0,0,0,0,0,0,0
110,1762968070755,0,0,0,0,0,0,0,0
111,1762968070872,0,0,0,0,0,0,0,0
112,1762968070972,0,0,0,0,0,0,0,0
113,1762968071072,0,0,0,0,0,0,0,0
114,1762968071188,0,0,0,0,0,0,0,0
115,1762968071305,0,0,0,0,0,0,0,0
116,1762968071405,0,0,0,0,0,0,0,0
117,1762968071621,0,0,0,0,0,0,0,0
118,1762968071738,0,0,0,0,0,0,0,0
119,1762968071856,0,0,0,0,0,0,0,0
120,1762968071955,0,0,0,0,0,0,0,0
121,1762968072072,0,0,0,0,0,0,0,0
122,1762968072170,0,0,0,0,0,0,0,0
123,1762968072304,0,0,0,0,0,0,0,0
124,1762968072404,0,0,0,0,0,0,0,0
125,1762968072737,0,0,0,0,0,0,0,0
126,1762968072955,0,0,0,0,0,0,0,0
127,1762968073054,0,0,0,0,0,0,0,0
128,1762968073170,0,0,0,0,0,0,0,0
129,1762968073287,0,0,0,0,0,0,0,0
130,1762968073387,0,0,0,0,0,0,0,0
131,1762968073637,0,0,0,0,0,0,0,0
132,1762968073753,0,0,0,0,0,0,0,0
133,1762968073936,0,0,0,0,0,0,0,0
134,1762968074154,0,0,0,0,0,0,0,0
135,1762968074286,0,0,0,0,0,0,0,0
136,1762968074619,0,0,0,0,0,0,0,0
137,1762968074703,0,0,0,0,0,0,0,0
138,1762968074820,0,0,0,0,0,0,0,0
139,1762968074936,0,0,0,0,0,0,0,0
140,1762968075035,0,0,0,0,0,0,0,0
141,1762968075152,0,0,0,0,0,0,0,0
142,1762968075269,0,0,0,0,0,0,0,0
143,1762968075369,0,0,0,0,0,0,0,0
144,1762968075752,0,0,0,0,0,0,0,0
145,1762968076035,0,0,0,0,0,0,0,0
146,1762968076251,0,0,0,0,0,0,0,0
147,1762968076368,0,0,0,0,0,0,0,0
148,1762968076467,0,0,0,0,0,0,0,0
149,1762968076584,0,0,0,0,0,0,0,0
150,1762968076684,0,0,0,0,0,0,0,0
151,1762968076917,0,0,0,0,0,0,0,0
152,1762968077350,0,0,0,0,0,0,0,0
153,1762968077467,0,0,0,0,0,0,0,0
154,1762968077567,0,0,0,0,0,0,0,0
155,1762968077700,0,0,0,0,0,0,0,0
156,1762968078017,0,0,0,0,0,0,0,0
157,1762968078116,0,0,0,0,0,0,0,0
158,1762968078233,0,0,0,0,0,0,0,0
159,1762968078466,0,0,0,0,0,0,0,0
160,1762968078582,0,0,0,0,0,0,0,0
161,1762968078682,0,0,0,0,0,0,0,0
162,1762968078782,0,0,0,0,0,0,0,0
163,1762968078882,0,0,0,0,0,0,0,0
164,1762968078998,0,0,0,0,0,0,0,0
165,1762968079098,0,0,0,0,0,0,0,0
166,1762968079215,0,0,0,0,0,0,0,0
167,1762968079331,0,0,0,0,0,0,0,0
168,1762968079431,0,0,0,0,0,0,0,0
169,1762968079548,0,0,0,0,0,0,0,0
170,1762968079765,0,0,0,0,0,0,0,0
171,1762968079881,0,0,0,0,0,0,0,0
172,1762968079998,0,0,0,0,0,0,0,0
173,1762968080099,0,0,0,0,0,0,0,0
174,1762968080215,0,0,0,0,0,0,0,0
175,1762968080764,0,0,0,0,0,0,0,0
176,1762968080864,0,0,0,0,0,0,0,0
177,1762968080964,0,0,0,0,0,0,0,0
178,1762968081080,0,0,0,0,0,0,0,0
179,1762968081314,0,0,0,0,0,0,0,0
180,1762968081414,0,0,0,0,0,0,0,0
181,1762968081514,0,0,0,0,0,0,0,0
182,1762968081648,0,0,0,0,0,0,0,0
183,1762968081763,0,0,0,0,0,0,0,0
184,1762968081962,0,0,0,0,0,0,0,0
185,1762968082179,0,0,0,0,0,0,0,0
186,1762968082413,0,0,0,0,0,0,0,0
187,1762968082512,0,0,0,0,0,0,0,0
188,1762968082846,0,0,0,0,0,0,0,0
189,1762968082945,0,0,0,0,0,0,0,0
190,1762968083062,0,0,0,0,0,0,0,0
191,1762968083395,0,0,0,0,0,0,0,0
192,1762968083496,0,0,0,0,0,0,0,0
193,1762968083612,0,0,0,0,0,0,0,0
194,1762968083828,0,0,0,0,0,0,0,0
195,1762968083929,0,0,0,0,0,0,0,0
196,1762968084061,0,0,0,0,0,0,0,0
197,1762968084177,0,0,0,0,0,0,0,0
198,1762968084278,0,0,0,0,0,0,0,0
199,1762968084495,0,0,0,0,0,0,0,0
200,1762968084627,0,0,0,0,0,0,0,0
201,1762968084711,0,0,0,0,0,0,0,0
202,1762968084827,0,0,0,0,0,0,0,0
203,1762968085044,0,0,0,0,0,0,0,0
204,1762968085159,0,0,0,0,0,0,0,0
205,1762968085393,0,0,0,0,0,0,0,0
206,1762968085710,0,0,0,0,0,0,0,0
207,1762968085826,0,0,0,0,0,0,0,0
208,1762968085927,0,0,0,0,0,0,0,0
209,1762968086242,0,0,0,0,0,0,0,0
210,1762968086459,0,0,0,0,0,0,0,0
211,1762968086792,0,0,0,0,0,0,0,0
212,1762968087026,0,0,0,0,0,0,0,0
213,1762968087243,0,0,0,0,0,0,0,0
214,1762968087459,0,0,0,0,0,0,0,0
215,1762968087591,0,0,0,0,0,0,0,0
216,1762968087692,0,0,0,0,0,0,0,0
217,1762968088242,0,0,0,0,0,0,0,0
218,1762968088358,0,0,0,0,0,0,0,0
219,1762968088474,0,0,0,0,0,0,0,0
220,1762968088574,0,0,0,0,0,0,0,0
221,1762968088791,0,0,0,0,0,0,0,0
222,1762968089006,0,0,0,0,0,0,0,0
223,1762968089124,0,0,0,0,0,0,0,0
224,1762968089340,0,0,0,0,0,0,0,0
225,1762968089456,0,0,0,0,0,0,0,0
226,1762968089573,0,0,0,0,0,0,0,0
227,1762968089673,0,0,0,0,0,0,0,0
228,1762968089790,0,0,0,0,0,0,0,0
229,1762968089890,0,0,0,0,0,0,0,0
230,1762968090008,0,0,0,0,0,0,0,0
231,1762968090107,0,0,0,0,0,0,0,0
232,1762968090556,0,0,0,0,0,0,0,0
233,1762968090672,0,0,0,0,0,0,0,0
234,1762968090788,0,0,0,0,0,0,0,0
235,1762968090872,0,0,0,0,0,0,0,0
236,1762968090989,0,0,0,0,0,0,0,0
237,1762968091105,0,0,0,0,0,0,0,0
238,1762968091205,0,0,0,0,0,0,0,0
239,1762968091338,0,0,0,0,0,0,0,0
240,1762968091438,0,0,0,0,0,0,0,0
241,1762968091541,0,0,0,0,0,0,0,0
242,1762968091671,0,0,0,0,0,0,0,0
243,1762968091771,0,0,0,0,0,0,0,0
244,1762968091987,0,0,0,0,0,0,0,0
245,1762968092087,0,0,0,0,0,0,0,0
246,1762968092204,0,0,0,0,0,0,0,0
247,1762968092321,0,0,0,0,0,0,0,0
248,1762968092420,0,0,0,0,0,0,0,0
249,1762968092538,0,0,0,0,0,0,0,0
250,1762968092637,0,0,0,0,0,0,0,0
251,1762968092853,0,0,0,0,0,0,0,0
252,1762968093070,0,0,0,0,0,0,0,0
253,1762968093203,0,0,0,0,0,0,0,0
254,1762968093304,0,0,0,0,0,0,0,0
255,1762968093520,0,0,0,0,0,0,0,0
256,1762968093854,0,0,0,0,0,0,0,0
257,1762968093954,0,0,0,0,0,0,0,0
258,1762968094070,0,0,0,0,0,0,0,0
259,1762968094186,0,0,0,0,0,0,0,0
260,1762968094286,0,0,0,0,0,0,0,0
261,1762968094435,0,0,0,0,0,0,0,0
262,1762968094503,0,0,0,0,0,0,0,0
263,1762968094635,0,0,0,0,0,0,0,0
264,1762968094752,0,0,0,0,0,0,0,0
265,1762968094852,0,0,0,0,0,0,0,0
266,1762968094951,0,0,0,0,0,0,0,0
267,1762968095051,0,0,0,0,0,0,0,0
268,1762968095168,0,0,0,0,0,0,0,0
269,1762968095285,0,0,0,0,0,0,0,0
270,1762968095401,0,0,0,0,0,0,0,0
