index,date,INV_STATE_L_MOTOR,FAILURE_L_MOTOR,ALARM_L_MOTOR,1,2,3,4,5
535,1762968131689,0,0,0,0,0,0,0,0
536,1762968131805,0,0,0,0,0,0,0,0
537,1762968132022,0,0,0,0,0,0,0,0
538,1762968132221,0,0,0,0,0,0,0,0
539,1762968132455,0,0,0,0,0,0,0,0
540,1762968132688,0,0,0,3.31,0,0,0,0
541,1762968132822,0,0,0,0,0,0,0,0
542,1762968132888,0,0,0,0,0,0,0,0
543,1762968132990,0,0,0,0,0,0,0,0
544,1762968133105,0,0,0,0,0,0,0,0
545,1762968133438,0,0,0,0,0,0,0,0
546,1762968133538,0,0,0,0,0,0,0,0
547,1762968133887,0,0,0,0,0,0,0,0
548,1762968134088,0,0,0,0,0,0,0,0
549,1762968134203,0,0,0,0,0,0,0,0
550,1762968134304,0,0,0,0,0,0,0,0
551,1762968134420,0,0,0,0,0,0,0,0
552,1762968134538,0,0,0,0,0,0,0,0
553,1762968134669,0,0,0,0,0,0,0,0
554,1762968134786,0,0,0,0,0,0,0,0
555,1762968134969,0,0,0,0,0,0,0,0
556,1762968135220,0,0,0,3.32,0,0,0,0
557,1762968135303,0,0,0,0,0,0,0,0
558,1762968135519,0,0,0,0,0,0,0,0
559,1762968135669,0,0,0,3.31,0,0,0,0
560,1762968135752,0,0,0,0,0,0,0,0
561,1762968135853,0,0,0,0,0,0,0,0
562,1762968136185,0,0,0,0,0,0,0,0
563,1762968136403,0,0,0,0,0,0,0,0
564,1762968136518,0,0,0,0,0,0,0,0
565,1762968136635,0,0,0,0,0,0,0,0
566,1762968137967,0,0,0,0,0,0,0,0
567,1762968138052,0,0,0,0,0,0,0,0
568,1762968138284,0,0,0,0,0,0,0,0
569,1762968138434,0,0,0,0,0,0,0,0
570,1762968138518,0,0,0,0,0,0,0,0
571,1762968138633,0,0,0,0,0,0,0,0
572,1762968138801,0,0,0,0,0,0,0,0
573,1762968138900,0,0,0,0,0,0,0,0
574,1762968139067,0,0,0,0,0,0,0,0
575,1762968139165,0,0,0,0,0,0,0,0
576,1762968139400,0,0,0,0,0,0,0,0
577,1762968139498,0,0,0,0,0,0,0,0
578,1762968139616,0,0,0,0,0,0,0,0
579,1762968139749,0,0,0,0,0,0,0,0
580,1762968139883,0,0,0,0,0,0,0,0
581,1762968139966,0,0,0,0,0,0,0,0
582,1762968140049,0,0,0,0,0,0,0,0
583,1762968140149,0,0,0,0,0,0,0,0
584,1762968140266,0,0,0,0,0,0,0,0
585,1762968140382,0,0,0,0,0,0,0,0
586,1762968140498,0,0,0,0,0,0,0,0
587,1762968140632,0,0,0,0,0,0,0,0
588,1762968140764,0,0,0,0,0,0,0,0
589,1762968140866,0,0,0,0,0,0,0,0
590,1762968140948,0,0,0,0,0,0,0,0
591,1762968141048,0,0,0,0,0,0,0,0
592,1762968141365,0,0,0,0,0,0,0,0
593,1762968141499,0,0,0,0,0,0,0,0
594,1762968141614,0,0,0,0,0,0,0,0
595,1762968141730,0,0,0,1,0,0,0,0
596,1762968141830,0,0,0,0,0,0,0,0
597,1762968142046,0,0,0,0,0,0,0,0
598,1762968142130,0,0,0,0,0,0,0,0
599,1762968142246,0,0,0,0,0,0,0,0
600,1762968142346,0,0,0,0,0,0,0,0
601,1762968142479,0,0,0,0,0,0,0,0
602,1762968142581,0,0,0,0,0,0,0,0
603,1762968142713,0,0,0,0,0,0,0,0
604,1762968142813,0,0,0,0,0,0,0,0
